c2,c3,c13,c15,c26,c42,c43,c44,c45,c48,c91
9050398,1,85827,3318,264196,1,1,3,3,45,0
9050403,3,94187,118,57818,2,2,2,2,36,1
9050404,3,441394,126,72963,1,2,3,3,40,2
9050405,1,98219,3613,279044,1,2,2,2,48,3
9050406,1,441586,1033,20799,1,2,3,3,58,4
9050407,1,446534,913,454200,1,2,3,3,61,5
9050408,1,98453,2652,214711,1,2,2,2,61,6
1242500,1,162635,2112,169867,1,2,2,2,78,7
9050412,1,450987,5126,352896,1,2,3,3,51,8
9050413,1,507083,2865,227235,2,2,3,3,34,9
9136600,1,67651,3194,255659,1,1,2,2,35,10
9050415,1,874831,513,352987,1,1,2,2,39,11
9050416,1,456397,1123,47124,1,1,3,3,48,12
9050418,1,459737,8124,434892,1,1,0,0,57,13
1242510,4,162641,2112,169867,1,1,2,2,77,14
9050422,1,399582,104,23091,1,1,2,2,61,15
9050423,4,470945,107,31104,1,1,3,3,84,16
9050426,1,492419,861,443787,1,1,2,2,46,17
9050427,3,495231,703,409443,1,1,3,3,48,18
9050428,1,499070,3761,285052,1,1,3,3,44,19
9050431,1,507408,2323,190446,2,2,2,2,35,20
9050433,1,511671,1438,96649,1,1,2,2,46,21
9050437,1,521852,5453,364677,1,1,2,2,68,22
9050438,1,522866,2000,153000,1,1,0,0,53,23
9050442,1,546264,3269,260899,1,1,3,3,57,24
9050443,4,546265,3269,260899,1,1,2,2,35,25
9050444,1,546266,3269,260899,1,1,3,3,63,26
9050445,1,550514,1550,110381,1,1,2,2,52,27
9050449,1,338472,5114,352248,1,1,2,2,43,28
373525,1,575224,20,151319,1,1,0,0,35,29
9050456,1,589846,3505,273886,1,1,2,2,51,30
9050458,2,594983,616,388524,1,1,0,0,65,31
9050461,1,607103,344,270382,1,1,3,3,40,32
9050464,1,612398,1106,41529,2,2,2,2,56,33
9050465,1,620209,1074,31472,1,1,3,3,40,34
9050466,1,626246,1030,20367,2,2,0,0,41,35
9050467,1,623565,2517,205372,1,1,0,0,60,36
9050469,1,639368,2422,198029,1,1,3,3,46,37
9050471,1,256382,4501,325628,1,1,2,2,50,38
9050472,1,643415,1024,17800,1,1,2,2,52,39
9050473,1,647644,1323,82226,1,1,0,0,75,40
9050474,1,367975,2430,198659,1,1,3,3,35,41
9050475,1,664521,457,327613,2,2,0,0,57,42
9050479,1,673757,1612,116832,1,1,0,0,36,43
9050480,1,674862,2569,208564,1,1,2,2,61,44
9050481,4,679877,3466,271388,1,1,2,2,53,45
9050482,4,682400,737,419110,1,1,2,2,39,46
9050483,1,684241,7533,422469,1,1,2,2,36,47
9050484,1,365414,328,261432,1,1,2,2,34,48
9050485,1,689782,5025,346452,1,1,0,0,42,49
9050486,1,187513,606,384075,1,1,3,3,36,50
9050488,1,697148,2132,172215,1,1,3,3,58,51
1243600,1,163045,2831,225781,1,1,3,3,84,52
9050490,1,702370,4559,327306,1,1,0,0,34,53
9050493,1,707258,801,431253,1,1,2,2,39,54
9050494,1,712633,2219,181137,1,1,0,0,70,55
9050497,1,632706,124,70062,1,1,2,2,64,56
9050498,1,726893,4549,326973,1,1,3,3,44,57
9050500,4,4180,2235,182885,1,1,0,0,40,58
9050502,2,741097,602,382323,1,1,0,0,37,59
9050504,1,105618,427,315452,1,1,2,2,53,60
9050506,1,105602,427,315452,2,2,2,2,54,61
9050509,1,752520,421,312732,1,1,2,2,40,62
9050510,1,752956,1930,145108,1,1,2,2,57,63
9050511,1,755418,4478,324150,1,1,3,3,40,64
9050512,1,111039,717,414521,1,1,3,3,49,65
9050513,1,758571,501,345310,1,1,3,3,60,66
9050516,1,114777,6051,383806,1,1,2,2,45,67
9050520,1,128117,2051,160846,1,1,2,2,77,68
9050521,1,765035,2728,219860,1,1,2,2,72,69
9050523,1,207402,651,397697,1,1,2,2,36,70
9050526,1,142500,233,190795,1,1,3,3,66,71
9050527,4,767267,3313,263976,1,1,0,0,63,72
9050528,1,146677,4026,298918,1,1,3,3,44,73
1244200,1,152415,2643,214161,1,1,0,0,77,74
9050530,3,149192,209,165483,1,1,3,3,38,75
9050531,4,775830,8055,432542,1,1,3,3,43,76
9050536,1,153087,2501,204111,1,1,2,2,62,77
9050538,1,788239,4924,340009,1,1,0,0,51,78
9050541,1,809466,3326,264660,1,1,2,2,60,79
9050543,1,811584,4109,305643,1,1,3,3,44,80
9050544,1,812086,809,433486,1,1,3,3,49,81
9050545,1,813143,706,410301,1,1,3,3,51,82
9050548,1,829870,3408,269017,1,1,2,2,44,83
9050549,1,155074,7556,422702,1,1,0,0,56,84
9050555,1,833701,8124,434892,1,1,0,0,63,85
9050557,1,838695,1873,139467,1,1,0,0,60,86
9050558,3,163087,3581,277037,1,1,0,0,37,87
9050560,4,170390,310,248423,1,1,0,0,52,88
1244450,1,163086,203,157901,1,1,2,2,59,89
9050561,1,845407,202,156125,1,1,3,3,49,90
9050562,1,178018,824,437608,1,1,2,2,47,91
9050563,1,846183,1720,127520,1,1,2,2,45,92
9050565,1,850156,7165,414357,1,1,0,0,83,93
9050567,1,853462,2804,224357,1,1,0,0,61,94
9050569,4,853536,429,316246,1,1,2,2,60,95
9050570,1,204243,1524,107737,1,1,0,0,41,96
9050571,1,853592,4649,330668,1,1,0,0,69,97
9050572,1,853798,502,346205,1,1,2,2,41,98
9050573,1,385724,1649,120035,1,1,2,2,55,99
9050577,1,207451,3665,280815,1,1,3,3,44,100
9050579,1,210191,6356,394057,1,1,2,2,46,101
1244700,1,163095,3182,255069,1,1,2,2,79,102
9050588,1,808404,2627,213140,1,1,2,2,35,103
9050589,1,231187,1340,84618,1,1,2,2,48,104
9050590,1,231613,411,305683,1,1,0,0,42,105
9050592,4,236923,1051,26337,1,1,3,3,37,106
9050594,1,237992,1325,82467,1,1,2,2,49,107
9050595,1,889060,3664,280813,1,1,2,2,36,108
9050604,1,901169,3265,260815,1,1,3,3,41,109
9050607,3,907899,631,393104,1,1,0,0,70,110
9050609,3,149082,6000,381313,1,1,3,3,40,111
9050610,1,252790,2516,205324,1,1,3,3,46,112
1245200,1,163127,5457,364730,1,1,0,0,81,113
9050613,1,202645,400,296271,1,1,2,2,50,114
9050616,1,916791,1426,95555,0,0,0,0,39,115
9050618,3,273800,3070,245532,1,1,2,2,57,116
9050619,1,274260,105,25994,1,1,0,0,68,117
9050624,1,311368,3943,292236,1,1,2,2,50,118
9050625,1,311376,3943,292236,2,2,2,2,52,119
9050630,3,326721,515,353793,1,1,0,0,65,120
9050632,1,329017,607,384444,1,1,2,2,57,121
9050635,3,344720,212,170971,1,1,2,2,37,122
9050637,1,349710,505,347890,1,1,0,0,65,123
9050638,1,356103,90,449962,1,1,0,0,87,124
9050639,1,360447,2618,212534,1,1,0,0,73,125
9050640,4,365541,4454,323479,1,1,0,0,46,126
9050641,1,371033,3244,259698,1,1,3,3,60,127
9050643,1,410360,328,261553,1,1,0,0,60,128
9050644,1,377464,429,316238,1,1,2,2,79,129
9050645,1,378356,234,191515,1,1,0,0,56,130
9050646,1,384825,3408,269020,1,1,3,3,38,131
1246400,1,163166,209,164755,1,1,2,2,66,132
9050652,1,411700,5687,371038,1,1,2,2,56,133
9050654,1,424228,1717,127018,1,1,3,3,48,134
9050658,1,435475,5540,367620,1,1,0,0,67,135
9050661,1,439379,6014,381990,1,1,2,2,37,136
9050664,1,17153,3228,258687,1,1,3,3,64,137
9050667,3,29700,3804,286966,1,1,0,0,71,138
9050668,1,48770,404,299979,1,1,2,2,52,139
9050669,1,51606,2422,198038,1,1,0,0,55,140
9050671,1,60444,1653,120737,1,1,2,2,40,141
9050672,1,66839,1739,128937,1,1,0,0,39,142
9050675,1,75126,4639,330387,1,1,3,3,47,143
9050676,1,90082,1824,136394,1,1,2,2,42,144
9050677,1,91379,112,46193,2,2,3,3,51,145
9050678,1,92956,528,359092,1,1,0,0,51,146
9050680,4,99457,2404,196368,1,1,2,2,72,147
9050681,1,105571,7603,423633,1,1,0,0,62,148
1246800,1,163187,2831,225781,1,1,3,3,88,149
9050684,1,106190,1615,117054,1,1,0,0,50,150
9050685,1,112187,2641,214104,1,1,2,2,34,151
9050689,4,123681,1217,65995,1,1,2,2,43,152
9050691,1,129566,427,315480,1,1,3,3,48,153
9050692,1,129567,1906,142902,1,1,0,0,46,154
9050698,1,163725,1925,144664,2,2,2,2,42,155
9050699,1,163898,7325,418401,1,1,2,2,41,156
9050700,1,178119,105,25473,1,1,0,0,51,157
9050702,1,184436,738,419245,2,2,0,0,43,158
9050703,1,184862,1547,109869,1,1,2,2,56,159
9050706,1,192414,408,303301,1,1,0,0,76,160
9050707,2,194022,205,159740,1,1,0,0,44,161
9050708,1,198560,506,348350,1,1,0,0,51,162
9050709,1,202813,921,455925,1,1,2,2,58,163
9050711,1,713223,406,301775,1,1,2,2,52,164
1247200,1,163194,8333,439398,1,1,2,2,84,165
9050719,1,222223,408,302869,1,1,0,0,36,166
9050724,1,243830,455,327014,1,1,0,0,35,167
9050725,1,249456,640,395234,1,1,0,0,35,168
9050726,1,249954,3004,238128,1,1,2,2,34,169
9050729,1,259222,1115,44681,1,1,0,0,43,170
9050730,1,178799,1357,86235,1,1,0,0,62,171
9050733,4,273179,2961,232817,1,1,0,0,85,172
9050735,1,279610,619,389355,1,1,0,0,48,173
9050736,1,635396,4003,297146,1,1,0,0,35,174
9050738,1,286563,1922,144502,1,1,3,3,75,175
9050742,1,314508,1410,93780,1,1,3,3,51,176
1248200,1,163201,3530,275132,1,1,0,0,64,177
9050743,3,315407,1812,135509,1,1,0,0,51,178
9050744,3,316750,104,23036,1,1,2,2,51,179
9050745,4,321811,649,396741,1,1,2,2,66,180
9050750,1,326831,814,435260,2,2,0,0,36,181
9050751,1,330282,1749,129590,2,2,3,3,44,182
9050752,3,490955,2750,221192,1,1,0,0,69,183
9050754,1,336685,4639,330388,1,1,2,2,51,184
9050755,4,339370,3143,252398,1,1,2,2,64,185
9050756,4,339382,3143,252398,1,1,2,2,65,186
9050757,1,132310,119,58660,1,1,2,2,53,187
9050760,1,70795,1745,129417,1,1,0,0,56,188
9050763,1,375719,1705,125651,1,1,3,3,47,189
9050765,1,393952,2456,200237,2,2,3,3,56,190
9050767,1,401086,2505,204332,1,1,0,0,66,191
9050770,1,411962,105,26002,1,1,0,0,74,192
9050771,1,420540,620,390142,1,1,3,3,35,193
9050774,1,437089,1403,92381,1,1,3,3,39,194
9050775,4,438296,342,269646,1,1,2,2,40,195
9050780,1,454118,1650,120618,1,1,2,2,66,196
9050781,4,463942,1515,106658,1,1,3,3,45,197
9050782,1,480175,3101,248876,2,2,1,1,55,198
9050783,1,484466,3101,248876,1,1,3,3,54,199
9050784,1,489667,2444,199456,1,1,0,0,52,200
9050788,1,506154,5729,372356,1,1,3,3,41,201
9050789,4,507074,213,171854,2,2,2,2,38,202
1250050,4,163236,6507,397641,1,1,0,0,87,203
9050801,1,550856,608,384893,1,1,0,0,54,204
9050804,3,559292,1215,65827,1,1,0,0,35,205
9050808,1,571824,502,346191,1,1,0,0,68,206
9050809,3,580678,116,53756,1,1,3,3,66,207
9050811,3,593984,3007,238289,1,1,3,3,65,208
9050813,4,706237,504,347579,1,1,2,2,40,209
9050814,1,617240,808,433281,1,1,0,0,62,210
9050818,2,643391,206,161984,1,1,3,3,61,211
9050819,1,647862,1079,31810,1,1,2,2,58,212
9050820,1,647889,1079,31810,1,1,2,2,56,213
9050825,1,652072,109,35544,1,1,0,0,36,214
9050828,4,662187,803,431862,1,1,0,0,78,215
9050829,3,149111,3415,269430,2,2,3,3,39,216
9050831,1,682712,1228,67927,1,1,2,2,42,217
9050832,2,687338,2417,197474,1,1,0,0,66,218
9050834,1,696096,3480,271975,1,1,2,2,72,219
9050835,1,696225,1623,118041,1,1,3,3,47,220
9050840,1,709646,5825,374648,1,1,2,2,48,221
9050845,4,725918,808,433150,1,1,3,3,84,222
9050846,1,727832,1104,41019,1,1,2,2,57,223
9050847,1,730038,3743,284374,1,1,3,3,50,224
9050848,1,733287,1935,145306,1,1,2,2,56,225
9050851,1,437059,4211,312989,1,1,2,2,35,226
9050852,4,760969,1213,65592,1,1,3,3,60,227
9050855,4,770164,3056,243959,1,1,2,2,42,228
9050858,1,776121,1840,137531,1,1,0,0,80,229
9050859,1,788744,4570,327685,1,1,3,3,44,230
9050864,1,800532,703,409378,1,1,2,2,73,231
1250300,1,163272,916,454768,1,1,0,0,70,232
9050865,1,809467,3326,264660,1,1,2,2,55,233
9050868,1,497813,905,451740,1,1,3,3,63,234
9050871,1,834239,5226,357463,1,1,2,2,74,235
9050872,1,834413,4733,333582,1,1,0,0,73,236
9050874,1,845375,2015,155452,1,1,3,3,72,237
9050876,1,860925,337,266779,1,1,2,2,53,238
9050879,4,866565,2416,197346,1,1,3,3,71,239
9050880,1,867432,111,42600,1,1,2,2,42,240
9050881,1,913487,5026,346466,1,1,2,2,41,241
9050883,3,880498,472,333169,1,1,3,3,52,242
1250500,1,163281,1761,130711,1,1,0,0,63,243
9050886,1,521389,1636,119034,1,1,3,3,36,244
9050888,4,911711,301,239145,1,1,0,0,54,245
9050889,1,911982,1108,41883,1,1,0,0,49,246
9050890,1,911848,2660,215135,1,1,2,2,46,247
9050893,1,916598,121,64394,1,1,2,2,52,248
9050894,1,3253,1977,147543,1,1,3,3,66,249
1250750,1,163282,916,454768,1,1,0,0,72,250
9050898,1,13444,1266,73605,1,1,3,3,87,251
9050899,1,19044,312,250472,1,1,0,0,45,252
9050900,3,21059,389,289676,1,1,0,0,50,253
9050901,1,24951,10,5357,1,1,2,2,91,254
9050917,1,111050,1713,126673,1,1,3,3,34,255
9050918,1,120188,3644,280172,1,1,3,3,64,256
9050919,4,131641,866,444308,1,1,0,0,52,257
9050920,4,136283,2833,225852,1,1,0,0,80,258
9050921,2,140311,805,432507,1,1,0,0,62,259
9050922,1,142241,1505,105073,2,2,0,0,54,260
9050923,1,144032,4769,334446,1,1,0,0,66,261
9050930,1,180130,7836,426779,1,1,2,2,78,262
9050933,4,185892,4586,328035,1,1,2,2,41,263
9050943,1,239945,508,349726,1,1,2,2,50,264
9050944,1,249944,422,313270,1,1,3,3,42,265
9050945,1,249952,3004,238128,1,1,2,2,34,266
9050948,4,257350,2710,218814,1,1,3,3,62,267
9050949,4,257370,2710,218814,1,1,3,3,61,268
9050950,1,258513,1515,106546,1,1,0,0,96,269
9050951,1,258195,1555,110649,1,1,0,0,74,270
9050953,1,278508,2910,230200,1,1,0,0,48,271
9050954,1,278783,2910,230200,1,1,3,3,49,272
9050961,1,318043,1815,135725,1,1,0,0,64,273
9050962,1,333419,1338,83963,1,1,0,0,36,274
9050964,1,344068,302,240189,1,1,2,2,50,275
9050969,1,375204,4610,329551,1,1,3,3,50,276
9050977,1,410556,2667,215321,1,1,2,2,50,277
1251400,1,163097,1613,116871,1,1,2,2,87,278
9050978,1,413480,302,239840,1,1,0,0,48,279
9050981,1,419102,506,348401,1,1,0,0,59,280
9050982,1,652697,4854,337510,1,1,2,2,35,281
9050987,4,468857,1105,41387,1,1,0,0,50,282
1252000,1,163382,1994,148480,1,1,2,2,101,283
9050988,1,470845,3548,275622,1,1,2,2,39,284
9050991,1,258738,501,345589,1,1,2,2,48,285
9050992,1,477209,1515,106609,1,1,3,3,52,286
9050995,1,192496,235,192025,1,1,3,3,36,287
9050997,1,495398,2624,212973,1,1,3,3,49,288
1252200,1,163383,5457,364730,1,1,0,0,83,289
9051002,1,532625,3850,288609,2,2,3,3,61,290
9051003,1,534206,2415,197343,1,1,2,2,36,291
9051005,1,548675,3610,278927,1,1,3,3,34,292
9051008,4,574158,6757,402275,1,1,0,0,66,293
9051009,1,621992,1928,144775,1,1,0,0,44,294
9051010,1,627812,1918,144074,1,1,3,3,52,295
9051011,1,637191,2716,219109,1,1,2,2,50,296
9051015,1,532909,106,27219,2,2,0,0,47,297
9051017,1,675900,2344,191752,1,1,0,0,61,298
9051018,1,681898,805,432440,1,1,3,3,34,299
9051019,3,687188,1556,110666,1,1,0,0,39,300
9051021,1,701167,5811,374359,1,1,2,2,51,301
9051022,1,701220,1685,122830,1,1,0,0,42,302
9051023,1,703724,1714,126789,1,1,0,0,35,303
9051027,1,728517,1819,135931,1,1,2,2,58,304
1252800,1,163396,517,354718,1,1,0,0,78,305
9051028,1,735766,619,389224,2,2,0,0,52,306
9051029,1,745081,5423,363942,1,1,2,2,37,307
9051031,1,767250,1650,120616,1,1,0,0,73,308
9051032,1,772769,4804,336082,1,1,3,3,34,309
9051034,4,799948,2741,220553,1,1,2,2,74,310
9051037,1,810019,656,398503,1,1,0,0,43,311
9051040,1,820528,2023,156771,1,1,0,0,48,312
9051041,3,822222,380,286716,1,1,2,2,63,313
9051043,1,835560,915,454525,1,1,2,2,59,314
9051046,1,849871,109,34363,1,1,2,2,43,315
9051047,1,850510,2942,231902,1,1,3,3,56,316
9051048,1,867118,301,239123,1,1,0,0,60,317
9051051,1,875120,209,165139,1,1,0,0,39,318
9051052,1,878548,3232,259086,1,1,3,3,48,319
9051053,3,883892,601,381531,1,1,0,0,46,320
9051054,1,894016,2333,191073,1,1,0,0,74,321
9051055,3,894262,2227,182059,1,1,2,2,34,322
9051057,3,902208,2555,207861,1,1,2,2,42,323
9051060,1,906880,1810,135346,1,1,0,0,46,324
9051062,1,915318,3301,263280,1,1,0,0,56,325
9051065,1,917686,3626,279552,1,1,3,3,66,326
9051066,1,18899,3615,279135,1,1,0,0,77,327
9051067,4,19687,8801,446222,1,1,0,0,79,328
9051069,2,47142,4135,307645,1,1,2,2,36,329
9051071,1,83913,2897,228449,1,1,2,2,48,330
9051072,3,103509,3908,291145,1,1,2,2,88,331
9051073,1,104471,1700,125194,1,1,3,3,48,332
9051074,1,113966,405,301062,1,1,0,0,35,333
9051076,1,127511,625,391377,1,1,0,0,51,334
9051080,1,48173,104,22883,1,1,2,2,66,335
9051081,1,210047,1248,70981,1,1,0,0,35,336
1252975,1,163435,603,382638,1,1,2,2,67,337
9051089,3,278709,300,236697,1,1,3,3,41,338
9051090,1,297330,7213,415964,1,1,3,3,46,339
9051093,1,380822,1250,71978,1,1,0,0,72,340
9051094,1,381623,424,314335,1,1,0,0,54,341
9051095,4,391917,3924,291690,1,1,3,3,72,342
9051098,1,184148,204,158981,2,2,0,0,44,343
9051099,1,424085,1240,70373,1,1,2,2,48,344
9051100,4,442156,3557,276170,1,1,0,0,66,345
9051101,1,423485,1269,73705,1,1,0,0,53,346
9051102,1,468100,223,182285,1,1,3,3,48,347
9051103,1,480895,2033,158115,1,1,2,2,41,348
9051104,4,488064,915,454608,1,1,2,2,75,349
9051105,3,490932,1929,144842,1,1,0,0,67,350
9051106,1,496450,215,173653,1,1,2,2,55,351
9051108,1,526244,2289,186399,1,1,0,0,71,352
9051112,4,597593,2316,189860,1,1,3,3,49,353
9051114,1,602734,1827,136557,1,1,3,3,67,354
9051115,4,621697,2559,208019,1,1,0,0,51,355
9051117,1,629598,407,302278,1,1,2,2,43,356
1253500,1,163444,381,287139,1,1,0,0,71,357
9051120,1,636081,3200,256989,1,1,2,2,35,358
9051121,1,828038,627,391836,2,2,3,3,57,359
9051126,1,713703,620,390056,1,1,3,3,34,360
9051127,1,731365,1106,41486,1,1,0,0,50,361
1253850,1,163456,3182,255069,1,1,2,2,74,362
9051128,1,731366,1106,41486,1,1,2,2,49,363
9051130,1,806187,305,243563,1,1,2,2,42,364
9051131,1,738354,8663,444324,1,1,3,3,50,365
9051132,1,757026,5819,374469,1,1,2,2,36,366
9051135,1,781242,3181,255049,1,1,2,2,59,367
9051136,1,687379,404,300230,2,2,3,3,60,368
30080551,1,796381,406,301743,2,2,0,0,54,369
9051140,1,842979,662,399875,1,1,2,2,80,370
9051142,1,880134,1119,45311,1,1,2,2,41,371
9051144,1,898435,3070,245532,1,1,0,0,39,372
9051145,1,906561,809,433601,1,1,2,2,56,373
1254400,1,163462,3530,275132,1,1,0,0,71,374
9051151,3,39033,2490,202085,1,1,0,0,50,375
9051152,1,283471,2951,232395,1,1,2,2,37,376
9051154,4,60225,2534,206635,1,1,0,0,75,377
1254600,1,163464,3824,287742,1,1,2,2,80,378
9051158,1,82931,2440,199307,1,1,2,2,43,379
9051159,1,86519,1007,10542,1,1,3,3,78,380
9051160,3,89608,820,436736,1,1,0,0,58,381
9051162,2,107421,860,443645,1,1,0,0,51,382
9051163,1,114712,1832,136994,2,2,2,2,43,383
9051164,1,120601,214,172904,1,1,3,3,40,384
9051165,2,121722,2422,198007,1,1,3,3,44,385
9051166,1,124481,2530,206352,1,1,3,3,35,386
9051167,3,129049,603,382749,1,1,0,0,46,387
9051169,1,194772,409,303822,1,1,0,0,35,388
9051171,1,144871,206,161706,1,1,3,3,48,389
9051173,1,170110,1303,78850,1,1,3,3,48,390
9051174,4,171762,802,431609,1,1,0,0,40,391
9051179,3,200064,545,364592,1,1,0,0,88,392
9051181,1,207756,710,412273,2,2,3,3,36,393
9051182,4,210350,1617,117310,1,1,0,0,87,394
9051184,3,224648,927,456838,1,1,2,2,47,395
9051186,1,228413,115,52912,1,1,3,3,39,396
1254700,1,163482,1308,79470,1,1,0,0,58,397
9051195,1,146988,102,16604,1,1,3,3,39,398
9051196,1,255534,3756,284832,1,1,0,0,78,399
9051197,1,263049,1863,138961,1,1,3,3,65,400
9051203,1,292773,6280,392119,1,1,3,3,63,401
9051204,1,294726,4282,315974,2,2,0,0,43,402
9051205,1,315486,153,108330,1,1,0,0,72,403
9051207,1,333516,830,438904,2,2,0,0,62,404
9051209,1,350005,206,161211,1,1,0,0,43,405
9051211,1,357171,2950,232369,1,1,3,3,36,406
9051212,1,360458,2618,212534,1,1,0,0,74,407
9051214,1,380483,215,173661,1,1,3,3,40,408
9051215,1,385152,2647,214307,2,2,2,2,60,409
9051216,1,446541,520,356275,2,2,2,2,34,410
1255600,1,163508,616,388482,1,1,2,2,81,411
9051219,3,406424,83,438644,1,1,0,0,81,412
9051221,1,424357,102,15717,1,1,2,2,56,413
9051224,1,428355,2732,220139,1,1,3,3,60,414
9051225,1,428381,114,49822,1,1,2,2,54,415
9051226,1,428531,6055,383850,1,1,0,0,43,416
9051227,1,428979,206,161799,1,1,2,2,64,417
1255700,1,163510,381,287139,1,1,0,0,74,418
9051228,1,433971,816,435741,1,1,0,0,35,419
9051229,1,438216,2719,219224,1,1,3,3,44,420
9051231,1,442085,3557,276170,1,1,0,0,79,421
9051232,1,456993,30,236121,1,1,2,2,53,422
9051233,1,457046,30,236121,1,1,2,2,56,423
9051234,1,466180,6003,381424,2,2,0,0,70,424
9051236,1,468642,2976,233335,1,1,0,0,84,425
9051239,3,715894,628,392056,1,1,3,3,50,426
9051242,1,514949,8636,444056,1,1,2,2,40,427
9051243,3,514992,3117,250174,1,1,2,2,36,428
9051244,2,519222,1679,122203,1,1,0,0,56,429
9051247,4,534825,2410,197011,1,1,3,3,35,430
1255800,4,163516,231,189332,1,1,0,0,84,431
9051252,1,581568,215,174061,1,1,2,2,75,432
9051255,1,446718,106,27268,1,1,3,3,59,433
1256000,1,163519,517,354718,1,1,0,0,80,434
9051268,1,665203,660,399407,1,1,0,0,43,435
9051269,1,665856,3330,265017,1,1,2,2,42,436
9051277,1,714683,501,345546,1,1,3,3,69,437
1256200,4,163531,616,388482,1,1,0,0,80,438
9051281,3,741847,2413,197217,1,1,0,0,36,439
9051284,1,750517,501,345546,1,1,0,0,78,440
9051285,4,752332,3720,283602,1,1,0,0,35,441
9051286,1,752958,1930,145108,1,1,2,2,71,442
9051287,1,757536,627,391823,1,1,3,3,40,443
1256300,1,163535,603,382638,1,1,2,2,69,444
9051291,1,98739,1457,98501,1,1,2,2,50,445
9051292,2,787432,1355,86164,1,1,3,3,53,446
9051295,1,817434,1285,75856,1,1,2,2,44,447
9051296,1,823511,3516,274544,1,1,0,0,43,448
9051298,1,834860,3333,265102,1,1,2,2,60,449
1256350,4,428196,102,16290,1,1,0,0,59,450
9051304,1,879295,4308,317576,1,1,0,0,40,451
1256400,1,163549,8333,439398,1,1,2,2,83,452
9051311,1,19250,7810,426550,1,1,2,2,41,453
9051312,1,45149,3781,285620,1,1,2,2,48,454
9051314,1,69760,413,307280,1,1,0,0,42,455
9051316,1,95025,1727,128073,1,1,2,2,58,456
9051319,1,89636,109,34664,1,1,2,2,59,457
